"Variable name","Variable label","Variable type"
"quadkey","Tile ID","character"
"ADM0_PC","Country ID","character"
"ADM0_ES","Country name","character"
"ADM1_PC","Admin level 1 ID","character"
"ADM1_ES","Admin level 1 name","character"
"ADM2_PC","Admin level 2 ID","character"
"ADM2_ES","Admin level 2 name","character"
"connection","Connection type","character"
"trimester","Quarter of the year","integer"
"avg_d_kbps","Average download speed in kilobites per second","integer"
"avg_u_kbps","Average upload speed in kilobites per second","integer"
"avg_lat_ms","Average latency in milliseconds","integer"
"tests","The number of tests taken","integer"
"devices","The number of unique devices","integer"
