"","ADM2_PC","ADM2_ES","ADM1_PC","ADM1_ES","ADM0_PC","ADM0_ES","college","clinic","university","school","hospital"
"1","CO05001","Medellín","CO05","Antioquia","CO","Colombia",60,102,51,321,100
"2","CO05045","Apartadó","CO05","Antioquia","CO","Colombia",1,NA,5,35,13
"3","CO05088","Bello","CO05","Antioquia","CO","Colombia",1,3,3,35,8
"4","CO05129","Caldas","CO05","Antioquia","CO","Colombia",1,NA,NA,1,2
"5","CO05145","Caramanta","CO05","Antioquia","CO","Colombia",1,NA,NA,1,1
"6","CO05148","El Carmen de Viboral","CO05","Antioquia","CO","Colombia",1,1,2,18,1
"7","CO05264","Entrerríos","CO05","Antioquia","CO","Colombia",2,NA,NA,3,1
"8","CO05266","Envigado","CO05","Antioquia","CO","Colombia",5,NA,3,37,4
"9","CO05310","Gómez Plata","CO05","Antioquia","CO","Colombia",1,NA,NA,3,1
"10","CO05318","Guarne","CO05","Antioquia","CO","Colombia",1,NA,NA,6,2
"11","CO05360","Itagüí","CO05","Antioquia","CO","Colombia",4,2,NA,18,8
"12","CO05380","La Estrella","CO05","Antioquia","CO","Colombia",1,1,NA,2,3
"13","CO05579","Puerto Berrío","CO05","Antioquia","CO","Colombia",2,NA,1,9,1
"14","CO05604","Remedios","CO05","Antioquia","CO","Colombia",1,NA,NA,4,1
"15","CO05642","Salgar","CO05","Antioquia","CO","Colombia",1,1,NA,5,1
"16","CO05665","San Pedro de Urabá","CO05","Antioquia","CO","Colombia",1,NA,NA,36,1
"17","CO05686","Santa Rosa de Osos","CO05","Antioquia","CO","Colombia",1,NA,1,19,5
"18","CO05690","Santo Domingo","CO05","Antioquia","CO","Colombia",1,NA,NA,NA,1
"19","CO05792","Tarso","CO05","Antioquia","CO","Colombia",1,NA,NA,NA,2
"20","CO05873","Vigía del Fuerte","CO05","Antioquia","CO","Colombia",1,NA,NA,1,1
"21","CO05895","Zaragoza","CO05","Antioquia","CO","Colombia",1,1,NA,5,1
"22","CO08001","Barranquilla","CO08","Atlántico","CO","Colombia",21,33,16,202,67
"23","CO08296","Galapa","CO08","Atlántico","CO","Colombia",1,NA,NA,5,1
"24","CO08372","Juan de Acosta","CO08","Atlántico","CO","Colombia",1,NA,NA,NA,NA
"25","CO08433","Malambo","CO08","Atlántico","CO","Colombia",2,1,NA,16,2
"26","CO08560","Ponedera","CO08","Atlántico","CO","Colombia",3,NA,NA,NA,NA
"27","CO08638","Sabanalarga","CO08","Atlántico","CO","Colombia",5,1,NA,2,2
"28","CO08758","Soledad","CO08","Atlántico","CO","Colombia",3,5,NA,44,13
"29","CO08770","Suan","CO08","Atlántico","CO","Colombia",2,NA,NA,1,1
"30","CO11001","Bogotá, D.C.","CO11","Bogotá, D.C.","CO","Colombia",117,258,162,1187,155
"31","CO13001","Cartagena de Indias","CO13","Bolívar","CO","Colombia",11,23,18,92,19
"32","CO13244","El Carmen de Bolívar","CO13","Bolívar","CO","Colombia",1,1,1,15,1
"33","CO13430","Magangué","CO13","Bolívar","CO","Colombia",1,1,2,3,2
"34","CO13600","Río Viejo","CO13","Bolívar","CO","Colombia",2,NA,NA,7,4
"35","CO13836","Turbaco","CO13","Bolívar","CO","Colombia",1,NA,2,3,2
"36","CO15001","Tunja","CO15","Boyacá","CO","Colombia",5,2,9,32,16
"37","CO15104","Boyacá","CO15","Boyacá","CO","Colombia",1,NA,NA,3,NA
"38","CO15131","Caldas","CO15","Boyacá","CO","Colombia",1,NA,NA,4,NA
"39","CO15176","Chiquinquirá","CO15","Boyacá","CO","Colombia",2,2,3,11,3
"40","CO15187","Chivatá","CO15","Boyacá","CO","Colombia",1,NA,NA,14,2
"41","CO15238","Duitama","CO15","Boyacá","CO","Colombia",3,3,4,45,6
"42","CO15322","Guateque","CO15","Boyacá","CO","Colombia",1,NA,NA,4,NA
"43","CO15407","Villa de Leyva","CO15","Boyacá","CO","Colombia",1,NA,NA,4,1
"44","CO15442","Maripí","CO15","Boyacá","CO","Colombia",7,NA,NA,11,3
"45","CO15537","Paz de Río","CO15","Boyacá","CO","Colombia",1,NA,1,3,1
"46","CO15572","Puerto Boyacá","CO15","Boyacá","CO","Colombia",1,1,NA,38,4
"47","CO15638","Sáchica","CO15","Boyacá","CO","Colombia",1,1,NA,17,NA
"48","CO15646","Samacá","CO15","Boyacá","CO","Colombia",2,NA,NA,13,1
"49","CO15740","Siachoque","CO15","Boyacá","CO","Colombia",4,NA,NA,2,1
"50","CO15753","Soatá","CO15","Boyacá","CO","Colombia",2,NA,NA,14,NA
"51","CO15763","Sotaquirá","CO15","Boyacá","CO","Colombia",1,NA,NA,7,NA
"52","CO15808","Tinjacá","CO15","Boyacá","CO","Colombia",1,NA,NA,2,NA
"53","CO15861","Ventaquemada","CO15","Boyacá","CO","Colombia",1,NA,NA,8,1
"54","CO17001","Manizales","CO17","Caldas","CO","Colombia",5,17,15,51,18
"55","CO17653","Salamina","CO17","Caldas","CO","Colombia",2,NA,NA,4,NA
"56","CO17873","Villamaría","CO17","Caldas","CO","Colombia",1,NA,NA,18,2
"57","CO18001","Florencia","CO18","Caquetá","CO","Colombia",4,3,2,9,4
"58","CO18029","Albania","CO18","Caquetá","CO","Colombia",1,NA,NA,17,2
"59","CO18150","Cartagena del Chairá","CO18","Caquetá","CO","Colombia",1,3,NA,5,1
"60","CO18479","Morelia","CO18","Caquetá","CO","Colombia",1,NA,NA,4,NA
"61","CO18610","San José del Fragua","CO18","Caquetá","CO","Colombia",2,1,NA,5,NA
