"ADM1_PC","ADM2_PC","trimester","avg_u_mbps_winsorized","avg_d_mbps_winsorized","diff_avg_u_winsorized","diff_avg_d_winsorized","school","college","university","hospital","clinic","types_infrastructure"
"CO05","CO05001",1,7.87507269403066,20.698470962867,12.8233982688364,0,321,60,51,100,102,5
"CO05","CO05001",4,8.06540896767064,23.1375672671669,15.0721582994963,0,321,60,51,100,102,5
"CO05","CO05002",1,6.58634440104167,10.5182291666667,3.931884765625,0,5,NA,NA,2,NA,2
"CO05","CO05002",4,8.13139204545454,8.45356889204546,0.32217684659091,0,5,NA,NA,2,NA,2
"CO05","CO05004",1,0.5478515625,4.7763671875,4.228515625,0,NA,NA,NA,1,NA,1
"CO05","CO05004",4,15.56689453125,19.3935546875,3.82666015625,0,NA,NA,NA,1,NA,1
"CO05","CO05021",1,5.80908203125,5.00146484375,-0.8076171875,0,6,NA,NA,1,NA,2
"CO05","CO05021",4,7.94368489583333,8.50455729166667,0.560872395833333,0,6,NA,NA,1,NA,2
"CO05","CO05030",1,2.7685546875,6.86647294207317,4.09791825457317,0,1,NA,NA,1,NA,2
"CO05","CO05030",4,3.77516276041667,7.04962565104167,3.274462890625,0,1,NA,NA,1,NA,2
"CO05","CO05031",1,9.97710503472222,8.16677517361111,-1.81032986111111,0,23,NA,2,1,1,4
"CO05","CO05031",4,4.893310546875,9.016357421875,4.123046875,0,23,NA,2,1,1,4
"CO05","CO05034",1,2.10756138392857,4.39857700892857,2.291015625,0,1,NA,NA,2,NA,2
"CO05","CO05034",4,3.39309692382812,4.69869995117188,1.30560302734375,0,1,NA,NA,2,NA,2
"CO05","CO05036",1,3.00439453125,7.292724609375,4.288330078125,0,1,NA,NA,2,NA,2
"CO05","CO05036",4,1.0125,8.8046875,7.7921875,0,1,NA,NA,2,NA,2
"CO05","CO05038",1,0.75732421875,4.0653076171875,3.3079833984375,0,2,NA,NA,1,NA,2
"CO05","CO05038",4,1.85441080729167,5.90559895833333,4.05118815104167,0,2,NA,NA,1,NA,2
"CO05","CO05040",1,8.9599609375,8.927734375,-0.0322265625,0,9,NA,NA,NA,NA,1
"CO05","CO05040",4,7.51985677083333,11.0196397569444,3.49978298611111,0,9,NA,NA,NA,NA,1
"CO05","CO05042",1,1.50894657258065,5.28777091733871,3.77882434475806,0,2,NA,NA,1,NA,2
"CO05","CO05042",4,2.72293169070513,7.29414563301282,4.57121394230769,0,2,NA,NA,1,NA,2
"CO05","CO05044",1,1.576904296875,10.3271484375,8.750244140625,0,1,NA,NA,1,NA,2
"CO05","CO05044",4,4.03385416666667,6.6083984375,2.57454427083333,0,1,NA,NA,1,NA,2
"CO05","CO05045",1,3.15487670898438,10.6816711425781,7.52679443359375,0,35,1,5,13,NA,4
"CO05","CO05045",4,4.95092385912698,13.0201977926587,8.06927393353175,0,35,1,5,13,NA,4
"CO05","CO05051",1,1.780029296875,7.9969482421875,6.2169189453125,0,24,NA,NA,1,NA,2
"CO05","CO05051",4,1.95068359375,5.21712239583333,3.26643880208333,0,24,NA,NA,1,NA,2
"CO05","CO05055",1,0.72265625,2.625,1.90234375,0,36,NA,NA,1,NA,2
"CO05","CO05055",4,1.84453125,6.26796875,4.4234375,0,36,NA,NA,1,NA,2
"CO05","CO05059",4,13.60546875,16.189453125,2.583984375,0,1,NA,NA,1,NA,2
"CO05","CO05079",1,9.02431225801991,12.3191572179204,3.29484495990044,0,5,NA,NA,1,NA,2
"CO05","CO05079",4,6.76134713772124,11.2922946626106,4.53094752488938,0,5,NA,NA,1,NA,2
"CO05","CO05086",1,0.71875,2.49837239583333,1.77962239583333,0,2,NA,NA,1,NA,2
"CO05","CO05086",4,1.82763671875,9.71982421875,7.8921875,0,2,NA,NA,1,NA,2
"CO05","CO05088",1,6.03246164515399,18.3132758718297,12.2808142266757,0,35,1,3,8,3,5
"CO05","CO05088",4,5.49984146712662,18.9699081777597,13.4700667106331,0,35,1,3,8,3,5
"CO05","CO05091",1,2.310302734375,4.487060546875,2.1767578125,0,NA,NA,NA,1,NA,1
"CO05","CO05091",4,1.13981119791667,3.53873697916667,2.39892578125,0,NA,NA,NA,1,NA,1
"CO05","CO05093",1,1.28461371527778,6.29210069444444,5.00748697916667,0,3,NA,NA,2,NA,2
"CO05","CO05093",4,0.87646484375,4.8935546875,4.01708984375,0,3,NA,NA,2,NA,2
"CO05","CO05101",1,1.391845703125,4.57623291015625,3.18438720703125,0,2,NA,NA,1,NA,2
"CO05","CO05101",4,2.42655436197917,4.984375,2.55782063802083,0,2,NA,NA,1,NA,2
"CO05","CO05107",1,5.40315755208333,12.7037760416667,7.30061848958333,0,9,NA,NA,1,NA,2
"CO05","CO05107",4,12.5478515625,12.0807291666667,-0.467122395833334,0,9,NA,NA,1,NA,2
"CO05","CO05113",1,15.636078125,13.11096875,-2.52510937499999,0,2,NA,NA,1,NA,2
"CO05","CO05113",4,9.28922526041667,10.336181640625,1.04695638020833,0,2,NA,NA,1,NA,2
"CO05","CO05120",1,2.50402113970588,5.33892463235294,2.83490349264706,0,26,NA,NA,5,2,3
"CO05","CO05120",4,2.45668247767857,5.08614676339286,2.62946428571429,0,26,NA,NA,5,2,3
"CO05","CO05125",1,1.805419921875,12.083740234375,10.2783203125,0,3,NA,NA,1,NA,2
"CO05","CO05125",4,2.8283203125,4.1337890625,1.30546875,0,3,NA,NA,1,NA,2
"CO05","CO05129",1,5.98580228365385,15.0868201622596,9.10101787860577,0,1,1,NA,2,NA,3
"CO05","CO05129",4,7.46604897836538,17.2721003605769,9.80605138221154,0,1,1,NA,2,NA,3
"CO05","CO05134",1,0.6953125,2.46875,1.7734375,0,3,NA,NA,2,NA,2
"CO05","CO05134",4,6.83154296875,6.734375,-0.09716796875,0,3,NA,NA,2,NA,2
"CO05","CO05138",1,0.7353515625,4.2099609375,3.474609375,0,3,NA,NA,2,NA,2
"CO05","CO05138",4,0.6060546875,3.3458984375,2.73984375,0,3,NA,NA,2,NA,2
"CO05","CO05142",1,0.688802083333333,6.35091145833333,5.662109375,0,2,NA,NA,1,NA,2
"CO05","CO05142",4,2.426513671875,7.89794921875,5.471435546875,0,2,NA,NA,1,NA,2
"CO05","CO05145",1,0.835205078125,4.727783203125,3.892578125,0,1,1,NA,1,NA,3
"CO05","CO05145",4,4.77376302083333,7.30305989583333,2.529296875,0,1,1,NA,1,NA,3
"CO05","CO05147",1,7.40183738425926,11.2721354166667,3.87029803240741,0,1,NA,NA,1,NA,2
"CO05","CO05147",4,6.66053427419355,9.64928805443548,2.98875378024194,0,1,NA,NA,1,NA,2
"CO05","CO05148",1,8.6171484375,12.2710893229167,3.65394088541667,0,18,1,2,1,1,5
"CO05","CO05148",4,9.36302042895963,12.443003445264,3.07998301630435,0,18,1,2,1,1,5
"CO05","CO05150",1,1.6611328125,9.9091796875,8.248046875,0,1,NA,NA,1,NA,2
"CO05","CO05150",4,5.2578125,7.73486328125,2.47705078125,0,1,NA,NA,1,NA,2
