"ADM1_PC","trimester","avg_u_mbps_winsorized","avg_d_mbps_winsorized","diff_avg_u_winsorized","diff_avg_d_winsorized","school","college","university","hospital","clinic","types_infrastructure"
"CO05",1,7.65564855279339,13.4047973032326,5.74914875043921,0,1231,89,76,300,122,5
"CO05",4,8.40794493888002,14.6774630140749,6.2695180751949,0,1231,89,76,300,122,5
"CO08",1,8.90052832609098,17.4820066336908,8.58147830759985,0,309,38,25,92,42,5
"CO08",4,9.47598543534634,18.7827650316456,9.30677959629923,0,309,38,25,92,42,5
"CO11",1,9.71257080646334,23.7452758315555,14.0327050250921,0,1187,117,162,155,258,5
"CO11",4,10.3561520428062,25.8112080183455,15.4550559755393,0,1187,117,162,155,258,5
"CO13",1,8.23168099539621,14.6236027018229,6.39192170642671,0,220,16,25,34,26,5
"CO13",4,8.93977662292232,14.9432713916214,6.00349476869912,0,220,16,25,34,26,5
"CO15",1,4.70056776685393,8.66182369206461,3.96125592521067,0,1104,36,21,112,14,5
"CO15",4,6.02500652562792,9.94271028037383,3.91770375474591,0,1104,36,21,112,14,5
"CO17",1,4.04442496479975,9.56673459011264,5.52230962531289,0,220,8,16,42,20,5
"CO17",4,3.81235687897979,9.51609219269103,5.70373531371124,0,220,8,16,42,20,5
"CO18",1,3.82287737966954,8.90140647449713,5.07852909482759,0,135,11,2,15,9,5
"CO18",4,8.92166349492521,10.8217157451923,1.9000522502671,0,135,11,2,15,9,5
"CO19",1,3.94577876868964,6.94120092519502,2.99542215650539,0,565,87,22,58,61,5
"CO19",4,4.05020828344508,6.75233554338282,2.70212725993774,0,565,87,22,58,61,5
"CO20",1,5.48803296984778,11.408838828308,5.92080585846019,0,73,7,16,18,7,5
"CO20",4,6.96009053048204,12.5062547258979,5.54616419541588,0,73,7,16,18,7,5
"CO23",1,5.02245425575658,9.20733861019737,4.18488435444079,0,97,25,10,18,18,5
"CO23",4,5.38387106315274,9.76695842852481,4.38308736537206,0,97,25,10,18,18,5
"CO25",1,5.2419894840363,11.5398989618699,6.29790947783364,0,590,50,24,84,23,5
"CO25",4,5.14326940537728,11.4043443290145,6.26107492363722,0,590,50,24,84,23,5
"CO27",1,3.368046875,6.11040364583333,2.74235677083333,0,73,7,4,11,1,5
"CO27",4,4.81315811820652,7.56787817028986,2.75472005208333,0,73,7,4,11,1,5
"CO41",1,4.73833823335095,7.32281510141385,2.5844768680629,0,313,38,16,32,11,5
"CO41",4,4.86753660840013,7.13992878032929,2.27239217192916,0,313,38,16,32,11,5
"CO44",1,2.5695775261324,8.52616643074913,5.95658890461672,0,606,6,4,46,32,5
"CO44",4,2.29361530172414,7.35134361530172,5.05772831357759,0,606,6,4,46,32,5
"CO47",1,5.69494615709459,11.109476879223,5.41453072212838,0,129,3,3,26,16,5
"CO47",4,7.25457389585433,12.9521889963458,5.69761510049143,0,129,3,3,26,16,5
"CO50",1,6.34161507481257,10.2663002520683,3.92468517725569,0,200,44,14,60,9,5
"CO50",4,6.228936187111,9.83741983272822,3.60848364561722,0,200,44,14,60,9,5
"CO52",1,3.75344184267837,6.80862680620852,3.05518496353014,0,312,9,13,66,9,5
"CO52",4,4.01508328388713,6.5356504153481,2.52056713146097,0,312,9,13,66,9,5
"CO54",1,7.56065261638839,11.8020542832431,4.24140166685469,0,347,43,21,83,71,5
"CO54",4,8.05954214638158,12.9022136513158,4.84267150493421,0,347,43,21,83,71,5
"CO63",1,3.31416321010524,10.9847771021263,7.67061389202105,0,116,88,11,47,18,5
"CO63",4,3.23275432180851,10.7643045925152,7.53155027070669,0,116,88,11,47,18,5
"CO66",1,4.96987272051735,12.6626264761407,7.69275375562339,0,172,10,9,40,18,5
"CO66",4,4.90096732626874,12.9945569762832,8.09358965001442,0,172,10,9,40,18,5
"CO68",1,7.12171400237057,11.71063324076,4.5889192383894,0,855,54,32,118,21,5
"CO68",4,6.84215677787162,10.9607513196791,4.11859454180743,0,855,54,32,118,21,5
"CO70",1,4.68093832453826,9.02917226665567,4.34823394211741,0,64,42,14,20,25,5
"CO70",4,4.77329918857296,10.1466268776824,5.37332768910944,0,64,42,14,20,25,5
"CO73",1,5.97292890255615,10.1269634677896,4.15403456523345,0,509,33,22,78,18,5
"CO73",4,5.9462423828125,10.2256018465909,4.27935946377841,0,509,33,22,78,18,5
"CO76",1,5.92538570451401,11.0268500503187,5.10146434580468,0,464,54,51,483,68,5
"CO76",4,6.28322997447021,11.2695216763283,4.98629170185811,0,464,54,51,483,68,5
"CO81",1,3.03031173406863,5.0204567504085,1.99014501633987,0,40,14,NA,4,4,4
"CO81",4,2.68673485824742,4.78427029639175,2.09753543814433,0,40,14,NA,4,4,4
"CO85",1,3.78793419094612,7.36866658834586,3.58073239739975,0,105,15,8,21,9,5
"CO85",4,4.01341456061242,7.66499318372483,3.65157862311242,0,105,15,8,21,9,5
"CO86",1,3.12551194245595,8.60046548045154,5.47495353799559,0,192,4,1,11,1,5
"CO86",4,3.89887046370968,7.28928503024194,3.39041456653226,0,192,4,1,11,1,5
"CO88",1,3.87226055194805,3.48492035308442,-0.387340198863636,0,8,NA,2,3,1,4
"CO88",4,2.72732017780172,2.42010708512931,-0.307213092672414,0,8,NA,2,3,1,4
"CO91",1,1.3935546875,1.74140625,0.3478515625,0,30,1,2,6,1,5
"CO91",4,0.498883928571429,0.824079241071429,0.3251953125,0,30,1,2,6,1,5
"CO94",1,1.84658203125,1.5005859375,-0.34599609375,0,10,NA,NA,1,NA,2
"CO95",1,4.53742104388298,5.5625,1.02507895611702,0,56,6,1,5,NA,4
"CO95",4,4.7265625,4.9947584502551,0.268195950255102,0,56,6,1,5,NA,4
"CO97",1,26.720703125,22.42041015625,-4.30029296875,0,12,NA,NA,1,1,3
"CO99",1,1.39457563920455,2.40198863636364,1.00741299715909,0,18,1,NA,3,1,4
"CO99",4,0.880078125,0.8955078125,0.0154296875,0,18,1,NA,3,1,4
